trade_id,direction,armed_time,entry_time,entry_price,stop_price,target_price,risk,swept_level_price,swept_level_source,sweep_extreme,fvg_top,fvg_bottom,midnight_open,bias,result,exit_time,exit_price,r_gained,pnl,points_gained
20200219-058f17,SHORT,2020-02-19 08:30,2020-02-19 08:35,9668.3,9689.64,9612.28,21.34,9666.4,PREV_DAY,9674.49,9671.31,9670.3,9655.57,BEARISH,LOSS,2020-02-19 09:30,9691.64,-1.094,-1093.72,-23.34
20200302-46a68b,SHORT,2020-03-02 07:30,2020-03-02 08:55,8491.09,8510.08,8442.13,18.99,8556.0,PREV_DAY,8565.39,8495.53,8493.09,8491.09,BEARISH,LOSS,2020-03-02 09:00,8512.08,-1.105,-1105.34,-20.99
20200303-a5aeaa,LONG,2020-03-03 07:30,2020-03-03 08:40,8836.05,8816.38,8887.05,19.67,8763.8,ASIAN,8756.11,8834.05,8819.29,8788.29,BULLISH,LOSS,2020-03-03 08:45,8814.38,-1.102,-1101.69,-21.67
20200311-eaa3c7,LONG,2020-03-11 07:30,2020-03-11 09:25,8172.89,8154.55,8219.92,18.34,8121.1,ASIAN,8091.19,8187.05,8169.3,8183.18,BULLISH,LOSS,2020-03-11 09:30,8152.55,-1.109,-1109.04,-20.34
20200313-16d6cf,SHORT,2020-03-13 09:50,2020-03-13 10:15,7570.29,7587.43,7526.86,17.14,7179.9,ASIAN,7658.9,7641.94,7572.29,6954.79,BEARISH,LOSS,2020-03-13 10:20,7589.43,-1.117,-1116.65,-19.14
20200317-7fe7cf,LONG,2020-03-17 07:35,2020-03-17 08:30,7167.71,7151.38,7208.7,16.33,7095.01,ASIAN,7052.84,7165.71,7149.26,0.0,BULLISH,LOSS,2020-03-17 08:35,7149.38,-1.122,-1122.46,-18.33
20200319-45e0a1,LONG,2020-03-19 07:30,2020-03-19 08:40,7133.73,7117.47,7174.52,16.26,6943.9,PREV_WEEK,6923.79,7131.73,7122.32,6931.14,BULLISH,WIN,2020-03-19 08:45,7174.52,2.508,2508.1,40.79
20200323-8905d4,SHORT,2020-03-23 09:35,2020-03-23 10:10,7066.53,7082.67,7026.12,16.14,6821.2,PREV_DAY,7282.56,7088.8,7068.53,6747.75,BEARISH,LOSS,2020-03-23 10:15,7084.67,-1.124,-1123.94,-18.14
20200324-467163,SHORT,2020-03-24 08:05,2020-03-24 08:45,7303.72,7320.33,7261.89,16.61,7269.42,ASIAN,7329.78,7308.46,7305.72,7161.31,BEARISH,LOSS,2020-03-24 08:50,7322.33,-1.12,-1120.4,-18.61
20200401-83f9c1,LONG,2020-04-01 07:30,2020-04-01 08:45,7599.91,7582.71,7643.5,17.2,7704.36,PREV_DAY,7561.05,7597.91,7594.22,7710.6,BULLISH,LOSS,2020-04-01 08:55,7580.71,-1.116,-1116.31,-19.2
20200403-2de8d2,LONG,2020-04-03 07:30,2020-04-03 08:30,7559.05,7541.94,7602.39,17.11,7567.18,ASIAN,7546.68,7557.05,7554.49,7575.06,BULLISH,WIN,2020-04-03 08:35,7602.39,2.533,2532.55,43.34
