trade_id,direction,armed_time,entry_time,entry_price,stop_price,target_price,risk,swept_level_price,swept_level_source,sweep_extreme,fvg_top,fvg_bottom,midnight_open,bias,result,exit_time,exit_price,r_gained,pnl,points_gained
20201201-5c409e,LONG,2020-12-01 07:30,2020-12-01 08:30,12375.47,12348.73,12447.71,26.75,12359.84,ASIAN,12352.65,12379.22,12370.4,12369.35,BULLISH,LOSS,2020-12-01 09:30,12346.73,-1.075,-1074.77,-28.75
20201202-41f931,LONG,2020-12-02 08:05,2020-12-02 10:10,12407.24,12380.43,12479.67,26.81,12405.22,ASIAN,12391.98,12406.41,12404.7,12437.67,BULLISH,FLAT,2020-12-02 16:00,12465.24,2.163,2163.33,58.0
20201208-ca96fd,LONG,2020-12-08 07:40,2020-12-08 09:40,12547.34,12520.25,12620.62,27.09,12553.03,ASIAN,12539.38,12545.85,12544.61,12565.79,BULLISH,LOSS,2020-12-08 10:20,12518.25,-1.074,-1073.83,-29.09
20201209-648680,LONG,2020-12-09 08:15,2020-12-09 08:40,12621.37,12594.13,12695.09,27.24,12633.02,ASIAN,12616.52,12619.37,12617.5,12647.8,BULLISH,LOSS,2020-12-09 09:35,12592.13,-1.073,-1073.42,-29.24
20201210-c8730f,SHORT,2020-12-10 07:30,2020-12-10 09:45,12329.09,12355.75,12257.1,26.66,12364.2,ASIAN,12367.3,12341.73,12331.09,12342.01,BEARISH,LOSS,2020-12-10 09:50,12357.75,-1.075,-1075.01,-28.66
20201214-03779c,LONG,2020-12-14 08:00,2020-12-14 09:15,12430.62,12403.76,12503.19,26.86,12411.02,ASIAN,12406.84,12428.62,12425.5,12418.61,BULLISH,WIN,2020-12-14 09:45,12503.19,2.702,2702.13,72.57
20201218-e751aa,LONG,2020-12-18 07:30,2020-12-18 09:40,12743.21,12715.73,12817.66,27.48,12712.59,ASIAN,12708.54,12743.25,12737.37,12721.74,BULLISH,LOSS,2020-12-18 09:50,12713.73,-1.073,-1072.77,-29.48
20201221-b16e69,LONG,2020-12-21 07:30,2020-12-21 10:00,12558.91,12531.8,12632.26,27.11,12723.06,PREV_DAY,12519.23,12558.11,12555.28,12747.88,BULLISH,LOSS,2020-12-21 10:05,12529.8,-1.074,-1073.76,-29.11
20201222-5991a8,SHORT,2020-12-22 09:25,2020-12-22 09:50,12729.81,12757.27,12655.42,27.46,12729.5,ASIAN,12744.69,12735.01,12720.75,12689.61,BEARISH,WIN,2020-12-22 11:30,12655.42,2.709,2708.71,74.39
20201223-0ce6c7,SHORT,2020-12-23 07:30,2020-12-23 08:35,12725.6,12753.05,12651.23,27.46,12709.29,ASIAN,12735.0,12727.8,12727.6,12696.75,BEARISH,WIN,2020-12-23 15:55,12651.23,2.709,2708.62,74.37
